,index,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url
0,5,1.6357214584097997e+18,b'Gaia DR2 6071087597518919808',6.07108759751892e+18,1527691886.0,2015.5,182.42379670915474,0.04250281706856732,-58.9116131958899,0.023457294834291417,9.534516909807275,0.04255242889553828,224.06517028808594,-34.567394976875214,0.06570943768802984,-8.522926884685415,0.04388304248820964,0.41848301887512207,-0.4651743173599243,-0.6447545886039734,-0.19223634898662567,-0.15277990698814392,-0.22312718629837036,-0.10972293466329575,0.4563770592212677,0.2042946070432663,0.35874393582344055,238.0,8.0,238.0,0.0,10.377307891845703,535.3153686523438,0.19713942862070188,9.307755116745062,31.0,False,21.135887145996094,1.3217958451819687,0.006359172699258581,-0.03413292393088341,27.0,13.0,0.0768817588686943,0.0,40.0,False,270.0,108959.10599605064,390.3081320833142,279.1617736816406,13.095207214355469,4.0,33816.99482660659,2225.8909210967704,15.19256591796875,14.02855110168457,5.0,159557.4394927107,12314.58224124968,12.956789016723633,11.754627227783203,1.7747431993484497,1.0,2.273923873901367,0.9333438873291016,1.3405799865722656,18.56821920823019,2.2548686408500354,3.0,4000.0,3.0,0.0,b'NOT_AVAILABLE',297.55505831514745,3.5236685215710977,214.95860413896318,-50.98847983019766,102002.0,3825.455078125,3503.0,4424.02978515625,,,,,,,200111.0,0.6781737208366394,0.507073700428009,0.8087735176086426,0.08873788267374039,0.08780799061059952,0.08966777473688126,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6071087597518919808',
1,6,1.6357214584097997e+18,b'Gaia DR2 6071087597518919040',6.071087597518919e+18,797222857.0,2015.5,182.4240996886037,0.02283501975525431,-58.91256312144898,0.02041080450255748,9.431150693919347,0.030309167620228485,311.1649475097656,-37.431828807167484,0.04291989656979893,-10.800949704476043,0.039398486326570725,0.21478411555290222,-0.21225374937057495,-0.44656699895858765,-0.09106510877609253,-0.06187205761671066,-0.06528529524803162,-0.1425604671239853,0.17918351292610168,0.08397570252418518,0.2824687659740448,327.0,327.0,320.0,7.0,3.621736764907837,414.12933349609375,0.0,0.0,31.0,False,316.87841796875,1.5341041102792863,0.005266054287407444,-0.035988949239254,37.0,18.0,0.03405357897281647,0.0,42.0,True,362.0,1820042.2132511984,2214.806413543312,821.7612915039062,10.038162231445312,40.0,807034.2201925867,3280.581951456966,246.0033721923828,10.584157943725586,39.0,1427064.5025543263,4659.915748173716,306.2425537109375,9.375810623168945,1.2274982929229736,0.0,1.2083473205566406,0.5459957122802734,0.6623516082763672,10.568780518563889,3.1773835969951505,3.0,5250.0,4.5,0.0,b'NOT_AVAILABLE',297.55536670891513,3.522756334188731,214.95974964221426,-50.9891177190042,100001.0,4882.75,4774.19970703125,4932.466796875,,,,,,,200111.0,1.3382219076156616,1.3113807439804077,1.3997677564620972,0.9170836806297302,0.912245512008667,0.9219218492507935,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6071087597518919040',
2,10,1.6357214584097997e+18,b'Gaia DR2 6087056870007363840',6.087056870007364e+18,607117530.0,2015.5,200.18893260577994,0.04782975318233609,-46.193888292235016,0.0309332439681967,7.886570966477879,0.04853524275922674,162.49163818359375,-29.430695938892324,0.0686852133199163,-18.412289365890842,0.06857999835245146,0.032964304089546204,-0.649943470954895,-0.25833243131637573,-0.10387486964464188,0.012490933761000633,-0.018003808334469795,-0.16408756375312805,0.06498657166957855,0.14850468933582306,-0.0228496715426445,124.0,124.0,121.0,3.0,0.6898413896560669,126.12157440185547,0.0,0.0,31.0,True,389.53094482421875,1.4479134824932838,0.011075438491495636,0.11619111895561218,14.0,9.0,0.044489532709121704,0.0,16.0,False,141.0,360753.98651165626,938.5465374766875,384.37518310546875,11.795337677001953,15.0,129472.63174044038,1318.1383671338758,98.2238540649414,12.570942878723145,15.0,336832.524910396,2072.3160873599386,162.53916931152344,10.943385124206543,1.2925848960876465,0.0,1.6275577545166016,0.7756052017211914,0.8519525527954102,16.96119432572179,6.43027222232734,6.0,4000.0,3.0,0.0,b'NOT_AVAILABLE',308.21313411433835,16.377010502643607,217.92658122780296,-34.54870694909145,100001.0,4231.0,4143.125,4326.0,1.528499960899353,1.1569000482559204,1.7319999933242798,0.7502999901771545,0.5679000020027161,0.866599977016449,200111.0,1.0743894577026367,1.0277198553085327,1.1204479932785034,0.3332654535770416,0.3302958011627197,0.3362351059913635,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6087056870007363840',
3,14,1.6357214584097997e+18,b'Gaia DR2 6150861598480158336',6.150861598480159e+18,1124111678.0,2015.5,183.87757060769277,0.040741580828526115,-39.81195658571475,0.025041572315876462,18.828460766695986,0.06587760457253956,285.8097229003906,-76.85167849120411,0.09342781495670702,-28.268509234147878,0.04185153642702831,0.26650455594062805,-0.26382869482040405,0.014859940856695175,-0.003030153689906001,-0.14344805479049683,-0.02501620166003704,-0.004649839363992214,0.4232540428638458,0.26230722665786743,0.5331663489341736,207.0,207.0,202.0,5.0,8.793745040893555,427.0618896484375,0.0,0.0,31.0,True,353.2674865722656,1.416474096908573,0.009919032371503853,-0.01840776763856411,24.0,10.0,0.05637747049331665,0.0,24.0,True,210.0,1167219.9256005369,3654.07006901051,319.4300842285156,10.52048397064209,24.0,340055.37588144356,3733.598121206704,91.07980346679688,11.522514343261719,24.0,1195029.7874007768,8113.703824437602,147.2853546142578,9.568472862243652,1.3151636123657227,0.0,1.9540414810180664,1.002030372619629,0.9520111083984375,4.695425267599311,1.6327536053179055,6.0,4000.0,3.0,0.0,b'NOT_AVAILABLE',295.4714046498115,22.53876900359681,201.52942110054607,-34.52552465560744,100001.0,4020.0,3860.0,4247.85986328125,,,,,,,200111.0,0.9549645781517029,0.8552616238594055,1.0357733964920044,0.21457219123840332,0.21339397132396698,0.21575041115283966,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6150861598480158336',
4,15,1.6357214584097997e+18,b'Gaia DR2 5356713413789909632',5.35671341378991e+18,941780723.0,2015.5,153.3111066530407,0.026813287303332003,-52.51495931190067,0.02460988796570374,18.74398619714962,0.03202353348505349,585.319091796875,-62.898819021011626,0.05233994763648416,9.502101955299139,0.04635830282436921,-0.05993398278951645,-0.3264290690422058,-0.34105926752090454,0.11552143096923828,0.19319851696491241,0.17273610830307007,-0.20350977778434753,0.15229816734790802,0.04572875797748566,0.008130169473588467,231.0,231.0,226.0,5.0,1.8536036014556885,261.55859375,0.0,0.0,31.0,True,302.30816650390625,1.517096056755008,0.007614664604169153,-0.08073671907186508,26.0,15.0,0.03736388683319092,0.0,44.0,False,353.0,3074907.7641939176,7826.1341765355,392.9024963378906,9.468785285949707,42.0,1316665.7369197605,10955.147840384147,120.18694305419922,10.052699089050293,41.0,2489537.9613936236,15337.34124295667,162.31874084472656,8.771622657775879,1.237826943397522,0.0,1.281076431274414,0.5839138031005859,0.6971626281738281,18.403353500395017,0.44220940291209776,3.0,4750.0,4.5,0.25,b'NOT_AVAILABLE',280.096275345268,3.198583800162745,186.80328038531894,-56.799285487548886,100001.0,4927.9697265625,4764.46484375,5071.0,0.7024999856948853,0.5665000081062317,0.8823999762535095,0.3330000042915344,0.272599995136261,0.44110000133514404,200111.0,0.8544687032699585,0.8069469928741455,0.9141216278076172,0.38793516159057617,0.386501669883728,0.3893686532974243,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=5356713413789909632',
5,40,1.6357214584097997e+18,b'Gaia DR2 6088207126668624384',6.088207126668624e+18,1369180771.0,2015.5,200.4049257423553,0.03844226202101163,-44.364493300530455,0.036658389230768286,9.043379159497205,0.04375338652203787,206.68980407714844,-25.945321387934847,0.0736184266491566,-14.85184226176149,0.09522731187635622,0.0037311913911253214,-0.3695817291736603,-0.23896709084510803,0.020402688533067703,-0.18123258650302887,0.09043128043413162,-0.29607701301574707,-0.029420968145132065,0.176747664809227,-0.17988274991512299,111.0,111.0,108.0,3.0,8.686036109924316,283.41949462890625,0.0,0.0,31.0,True,327.935302734375,1.3640944540490942,0.012711678813079346,-0.034636978060007095,13.0,9.0,0.0614263154566288,0.0,17.0,False,146.0,260973.74798133044,424.88176482345017,614.2267456054688,12.146873474121094,16.0,74262.4047109182,583.937959038605,127.17516326904297,13.17446517944336,16.0,280345.6928005077,1106.4975339087637,253.36314392089844,11.142684936523438,1.3587883710861206,0.0,2.031780242919922,1.0275917053222656,1.0041885375976562,10.604653468821779,1.893280202377661,5.0,4250.0,4.5,0.0,b'NOT_AVAILABLE',308.6023137040988,18.174700377349073,217.10366015922756,-32.84544342672915,100001.0,3925.052490234375,3646.0,4534.31396484375,,,,,,,200111.0,1.016327977180481,0.7615556716918945,1.177854061126709,0.2208738923072815,0.2193097621202469,0.2224380224943161,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6088207126668624384',
6,52,1.6357214584097997e+18,b'Gaia DR2 5416221633076680320',5.416221633076681e+18,380003611.0,2015.5,156.33689745390808,0.019088702264763016,-42.69832816368631,0.021823781059412146,11.251698159622205,0.027429180573512006,410.20904541015625,-44.41409414945693,0.04004086878575699,-1.9367170573365415,0.04473979613437045,-0.006464087404310703,-0.17339833080768585,-0.4433997869491577,0.1438167244195938,0.20013684034347534,0.14141878485679626,-0.2773449718952179,0.040227096527814865,-0.18557491898536682,0.08502986282110214,311.0,311.0,305.0,6.0,11.372716903686523,672.5531005859375,0.0,1.626090032944555e-15,31.0,True,350.36529541015625,1.3721377660253016,0.005448513759703396,-0.022814149037003517,35.0,17.0,0.033348068594932556,0.0,47.0,False,416.0,322833.53530584223,388.51667092893314,830.938720703125,11.915919303894043,42.0,88832.64507965316,416.6992377131505,213.1816864013672,12.97995662689209,41.0,349840.6728467555,1043.1276956712393,335.37664794921875,10.902244567871094,1.358821988105774,0.0,2.077712059020996,1.0640373229980469,1.0136747360229492,16.990761967344607,1.4479259882709414,16.0,4000.0,3.0,0.0,b'NOT_AVAILABLE',276.3161184006277,12.498588824927577,179.92480627232294,-47.689915952282476,100001.0,4096.52001953125,3745.5,4293.31982421875,,,,,,,200111.0,0.78982013463974,0.7190712094306946,0.9447975754737854,0.15827468037605286,0.1576087921857834,0.15894056856632233,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=5416221633076680320',
7,99,1.6357214584097997e+18,b'Gaia DR2 5452498537466667776',5.452498537466668e+18,1347369737.0,2015.5,167.30704202646635,0.6008361585063537,-30.02783533983583,0.47171029749773147,21.701054390082902,0.6504186271902505,33.364749908447266,-98.32609658475006,1.5351046613611867,-8.839188381791413,1.2539220046526847,-0.20085425674915314,-0.00340402708388865,0.25619035959243774,0.015867723152041435,-0.18564020097255707,-0.019335681572556496,0.2577406167984009,0.14530250430107117,-0.19944941997528076,-0.14213107526302338,137.0,137.0,120.0,17.0,132.99392700195312,36871.125,2.3580990643041297,1744.3746665614772,31.0,False,0.17002281546592712,1.6765917096354863,0.14412092591296882,0.0038961591199040413,16.0,9.0,0.7690366506576538,0.0,29.0,True,226.0,1569055.745003286,4218.034107700377,371.9874572753906,10.199270248413086,24.0,384129.1843682843,2476.1797328350654,155.1297607421875,11.3901948928833,25.0,1804657.2261287642,7079.427881406282,254.9156951904297,9.120933532714844,1.394970417022705,1.0,2.269261360168457,1.1909246444702148,1.0783367156982422,13.192877792798992,3.602383741887106,5.0,4000.0,3.0,0.0,b'NOT_AVAILABLE',277.95066843364737,27.838884876385737,181.66277771022638,-32.330220552030156,100002.0,3957.809814453125,3647.77734375,4228.75732421875,2.818000078201294,2.4110000133514404,3.0829999446868896,1.4067000150680542,1.1663999557495117,1.5757999420166016,200111.0,1.0101332664489746,0.8848364353179932,1.1891369819641113,0.22556501626968384,0.2180110067129135,0.23311902582645416,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=5452498537466667776',
8,100,1.6357214584097997e+18,b'Gaia DR2 3463395519357786752',3.4633955193577866e+18,1476904194.0,2015.5,177.1006405161896,0.034530930079641184,-37.48038849335058,0.027579429166142394,13.092580623035474,0.05923727718716744,221.019287109375,-52.9601008545377,0.06122479023751753,-18.46489436016822,0.04259081133021516,-0.07771587371826172,-0.4467374384403229,-0.4836568534374237,0.003289693733677268,0.0748370960354805,0.026772888377308846,-0.2753084897994995,0.4533778429031372,-0.06107258051633835,0.10163664817810059,180.0,180.0,179.0,1.0,7.323790073394775,348.44158935546875,0.0,0.0,31.0,True,337.7837829589844,1.4591388843505382,0.011287146032715118,-0.03475591912865639,21.0,11.0,0.0413326621055603,0.0,23.0,True,199.0,1106644.8142303112,3978.3289683108715,278.1682434082031,10.57834529876709,20.0,398587.7644706019,4064.49105904132,98.06584930419922,11.350078582763672,22.0,1021237.2420888622,9435.459300503508,108.23397064208984,9.739103317260742,1.2829997539520264,0.0,1.6109752655029297,0.771733283996582,0.8392419815063477,9.960288374197297,0.9004590017130683,6.0,4250.0,4.5,0.25,b'NOT_AVAILABLE',289.3162575892338,23.719098105577665,194.51691518880497,-35.0467862952967,100001.0,4239.75,4193.5,4385.42333984375,,,,,,,200111.0,1.12620210647583,1.052625298500061,1.1511808633804321,0.3692227005958557,0.36665019392967224,0.3717952072620392,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=3463395519357786752',
9,131,1.6357214584097997e+18,b'Gaia DR2 5460728077057780864',5.460728077057781e+18,331261729.0,2015.5,154.6192919202514,0.01869586821542692,-31.834197884697783,0.02619773505065901,15.233551974360081,0.03214520282390453,473.89813232421875,-56.611129861166845,0.04541187752186779,-18.459423383505356,0.051370078911716105,-0.042361702769994736,-0.12530341744422913,0.4830639064311981,0.38638418912887573,-0.04022783413529396,0.359662801027298,0.12051129341125488,-0.004968142602592707,-0.3270764648914337,0.1828603893518448,354.0,354.0,332.0,22.0,12.513668060302734,761.5916137695312,0.0,0.0,31.0,True,335.8551330566406,1.452609474292727,0.005590157926642675,0.005751508288085461,41.0,13.0,0.03839557617902756,0.0,47.0,True,410.0,864448.1622316914,3408.946570881208,253.5821990966797,10.846518516540527,40.0,295221.47570755694,4931.885362414562,59.85976028442383,11.676018714904785,44.0,830203.6060058477,8050.3041563893275,103.12698364257812,9.963958740234375,1.301900029182434,0.0,1.7120599746704102,0.8295001983642578,0.8825597763061523,12.863565656082022,3.383561922179519,16.0,4000.0,3.0,0.0,b'VARIABLE',268.72959831435145,20.692657990297278,170.80196361759334,-38.96093853456775,100001.0,4268.892578125,4081.706298828125,4412.97998046875,1.562000036239624,1.3653000593185425,1.7067999839782715,0.7777000069618225,0.6651999950408936,0.8676000237464905,200111.0,0.8374319076538086,0.7836390137672424,0.916002094745636,0.20982374250888824,0.20874418318271637,0.21090330183506012,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=5460728077057780864',b'http://geadata.esac.esa.int/data-server/data?RETRIEVAL_TYPE=epoch_photometry&ID=5460728077057780864'
