n  |dist(asec)|prob. |     link ref      |     link      |        identifier       |typ| coord1                    |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |bib |not
172|  71318.57|   100|2005ApJ...634.1385M|B              |HD 298936                |PM*|153.3115454 -52.5150008    |     ~|10.81 | 9.763|     ~| 8.687|K3Ve           |  40|   0
173|  14342.36|    75|2013ApJ...762...88M|S              |CD-34 7390B              |TT*|170.322692 -34.780508      |     ~|13.43 |11.96 |11.31 | 9.88 |M1Ve           |  53|   0
174|  74631.57|     1|2009A&A...503..281T|B              |TWA 22                   |LXB|154.36204 -53.90736        |     ~|15.69 |13.96 |13.72 |     ~|M5             |  55|   0
175|  74708.95|   100|2014ApJ...788...81M|B              |TWA 16                   |Ro*|188.734583 -45.635453      |     ~|     ~|12.684|     ~|10.310|M2.5           |  49|   0
176|  50153.57|    99|2015ApJ...798...73G|B              |TWA 27                   |BD*|181.889446 -39.548333      |     ~|     ~|19.95 |17.99 |15.88 |M8Ve           | 287|   1
177|  48181.52|    70|2015ApJ...798...73G|B              |2MASS J11554920-4303109  |*  |178.955037 -43.053042      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
178|  14342.36|   100|2014ApJ...788...81M|B              |CD-34 7390B              |TT*|170.322692 -34.780508      |     ~|13.43 |11.96 |11.31 | 9.88 |M1Ve           |  53|   0
179|  62336.49|    75|2013ApJ...762...88M|B              |HD 102458                |Y*O|176.8522658 -49.8841717    |     ~| 9.70 | 9.07 |     ~| 8.40 |G4V            |  63|   0
180|  26128.70|    34|2015ApJ...798...73G|B              |2MASS J11035873-4156475  |*  |165.994750 -41.946553      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
181|  41527.65|    46|2015ApJ...798...73G|B              |2MASS J11480096-2836488  |BD*|177.004004 -28.613583      |     ~|     ~|     ~|     ~|     ~|L1:            |   4|   0
182|  77066.63|    12|2015ApJ...798...73G|B              |2MASS J12471067-3632150  |*  |191.794483 -36.537514      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
183|  11942.81|    75|2013ApJ...762...88M|S              |Hen 3-600                |TT*|167.616225 -37.531103      |     ~|13.53 |12.05 |11.61 | 9.29 |M4Ve+M4Ve      | 174|   0
184|  33763.85|    75|2015ApJS..219...33G|S              |TWA 34                   |LM*|157.190867 -28.510406      |     ~|     ~|     ~|     ~|     ~|M4.9(opt)      |  22|   0
185|  61633.85|    36|2015ApJ...798...73G|B              |2MASS J12173617-2846082  |*  |184.400737 -28.768964      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
186|  73347.17|   100|2014ApJ...788...81M|B              |TWA 20                   |Ro*|187.90862 -45.98317        |     ~|14.10 |13.240|     ~|10.682|M2             |  39|   0
187|    711.84|    99|2015ApJ...798...73G|B              |TWA 28                   |BD*|165.540971 -34.509869      |     ~|21.2  |21.46 |19.14 |17.90 |M8.5p          |  61|   0
188|  77384.61|    40|2015ApJ...798...73G|B              |2MASS J12474428-3816464  |LM*|191.934542 -38.279556      |     ~|     ~|     ~|     ~|     ~|M9             |   7|   0
189|  70203.93|   100|2005ApJ...634.1385M|B              |V* V1252 Cen             |TT*|188.76771 -41.61072        |     ~|14.39 |13.045|11.4  |10.506|M2Ve           |  64|   0
190|  82938.87|    51|2015ApJ...798...73G|B              |2MASS J12535039-4211215  |LM*|193.459967 -42.189328      |     ~|     ~|     ~|     ~|     ~|M9.5           |   4|   0
191|  92165.72|    15|2015ApJ...798...73G|B              |2MASS J13075615-4159202  |*  |196.983975 -41.988944      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
192|  50154.05|   100|2005ApJ...634.1385M|S              |TWA 27B                  |BD*|181.88958 -39.54844        |     ~|     ~|     ~|     ~|     ~|L5             | 207|   1
193|  65566.48|    74|2015ApJ...798...73G|B              |2MASS J12310489-3801065  |LM*|187.770396 -38.018494      |     ~|     ~|     ~|     ~|     ~|M8pec          |   3|   0
194|  21131.09|    75|2015ApJS..219...33G|S              |2MASS J11271382-3735076  |BD*|171.807583 -37.585450      |     ~|     ~|     ~|     ~|     ~|L0             |   4|   0
195|  51654.69|    43|2015ApJ...798...73G|B              |2MASS J12120009-3519434  |*  |183.000408 -35.328742      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
196|  43503.66|    75|2015ApJS..219...33G|S              |TWA 35                   |LM*|180.114608 -34.093658      |     ~|     ~|     ~|     ~|     ~|M4.7           |   7|   0
197|  33763.85|    95|2015ApJ...798...73G|B              |TWA 34                   |LM*|157.190867 -28.510406      |     ~|     ~|     ~|     ~|     ~|M4.9(opt)      |  22|   0
198|  14907.52|   100|2010A&A...520A..15M|B              |V* CE Ant                |TT*|160.625466 -33.671169      |     ~|12.21 |10.91 |     ~| 9.10 |M2Ve           | 125|   1
199|  28974.41|    98|2015ApJ...798...73G|B              |TWA 37                   |PM*|167.86750 -26.91742        |     ~|     ~|     ~|     ~|     ~|~              |   3|   0
200|  69687.11|   100|1999ApJ...512L..63W|B              |HD 109573                |** |189.00429585 -39.86950750  |     ~| 5.786| 5.774|     ~|     ~|A0V            | 387|   1
201|  36868.49|    99|2013ApJ...762...88M|B              |CD-26 8623B              |TT*|173.17150 -26.86917        |     ~|16.70 |15.22 |13.68 |11.76 |M5.5           |  60|   0
202|  38529.66|    75|2013ApJ...762...88M|S              |2MASS J10252092-4241539  |Ro*|156.33717 -42.69831        |     ~|     ~|12.730|     ~|10.686|M1             |  13|   0
203|  82938.87|    75|2015ApJS..219...33G|S              |2MASS J12535039-4211215  |LM*|193.459967 -42.189328      |     ~|     ~|     ~|     ~|     ~|M9.5           |   4|   0
204|  45437.25|    98|2015ApJ...798...73G|B              |TWA 36                   |PM*|180.658292 -33.477853      |     ~|16.57 |15.77 |15.49 |12.48 |M4.8           |   5|   0
205|  34243.92|   100|2005ApJ...634.1385M|B              |V* BX Ant                |TT*|154.6195733 -31.8341142    |     ~|13.39 |11.454|11.382| 9.325|M0Ve           |  91|   0
206|  39307.27|    75|2013ApJ...762...88M|S              |V* V1215 Cen             |TT*|168.359254 -45.395206      |     ~|     ~|12.478|     ~|10.483|M0.5           |  64|   0
207|  22223.14|    75|2013ApJ...762...88M|S              |CD-33 7795               |TT*|172.9802404 -34.6075686    |     ~|12.97 |11.524|11.150| 9.150|M2Ve           | 149|   0
208|  30007.83|    99|2015ApJ...798...73G|B              |2MASS J11382538-3841525  |*  |174.605767 -38.697917      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
209|  92071.77|    12|2015ApJ...798...73G|B              |2MASS J12563961-2718455  |BD*|194.165046 -27.312661      |     ~|     ~|     ~|     ~|     ~|L3:            |   4|   0
210|  33462.84|    78|2015ApJ...798...73G|B              |2MASS J11443034-3820341  |*  |176.126450 -38.342819      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
211|  11488.96|    99|2015ApJ...798...73G|B              |2MASS J11160937-3601063  |*  |169.039058 -36.018417      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
212|  44154.61|    38|2015ApJ...798...73G|B              |2MASS J12011772-3712329  |*  |180.323863 -37.209142      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
