n  |dist(asec)|prob. |     link ref      |     link      |        identifier       |typ| coord1                    |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |bib |not
80 |  60202.05|    79|2015ApJ...798...73G|B              |2MASS J12214223-4012050  |LM*|185.425983 -40.201408      |     ~|     ~|     ~|     ~|     ~|M              |   3|   0
81 |   2405.83|    36|2015ApJ...798...73G|B              |2MASS J11034950-3409445  |*  |165.956279 -34.162383      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
82 |  77384.61|    75|2015ApJS..219...33G|S              |2MASS J12474428-3816464  |LM*|191.934542 -38.279556      |     ~|     ~|     ~|     ~|     ~|M9             |   7|   0
83 |  36868.49|   100|2005ApJ...634.1385M|B              |CD-26 8623B              |TT*|173.17150 -26.86917        |     ~|16.70 |15.22 |13.68 |11.76 |M5.5           |  60|   0
84 |  34243.92|    75|2013ApJ...762...88M|S              |V* BX Ant                |TT*|154.6195733 -31.8341142    |     ~|13.39 |11.454|11.382| 9.325|M0Ve           |  91|   0
85 |  33662.51|     0|2009PASJ...61..585T|S              |[TNF2009] A              |MoC|163.3792 -43.9099          |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
86 |  69687.13|    99|2013ApJ...762...88M|B              |HD 109573A               |PM*|189.004304 -39.869500      |     ~| 5.786| 5.774| 7.25 | 5.81 |A0Ve           | 145|   0
87 |  43503.66|   100|2015MNRAS.453.2220M|B              |TWA 35                   |LM*|180.114608 -34.093658      |     ~|     ~|     ~|     ~|     ~|M4.7           |   7|   0
88 |  35237.84|   100|2005ApJ...634.1385M|B              |CD-36 7429B              |TT*|177.098883 -37.480139      |     ~|15.43 |14.00 |     ~|11.45 |M1V            |  59|   0
89 |    711.84|   100|2005ApJ...634.1385M|S              |TWA 28                   |BD*|165.540971 -34.509869      |     ~|21.2  |21.46 |19.14 |17.90 |M8.5p          |  61|   0
90 |  35662.35|    55|2015ApJ...798...73G|B              |2MASS J10144705-3728151  |*  |153.696054 -37.470883      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
91 |  27911.28|    75|2013ApJ...762...88M|S              |TWA 30                   |Y*O|173.076308 -30.331069      |     ~|15.82 |14.20 |14.44 |11.30 |M5V            |  45|   0
92 |  70203.93|   100|2010A&A...520A..15M|B              |V* V1252 Cen             |TT*|188.76771 -41.61072        |     ~|14.39 |13.045|11.4  |10.506|M2Ve           |  64|   0
93 |  98609.55|    25|2015ApJ...798...73G|B              |2MASS J13153357-3425084  |*  |198.889908 -34.419003      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
94 |  14339.58|    75|2013ApJ...762...88M|S              |CD-34 7390A              |TT*|170.321746 -34.779297      |     ~|12.88 |11.46 |11.43 | 9.57 |M1Ve           |  74|   0
95 |  29279.96|    83|2015ApJ...798...73G|B              |2MASS J11394506-3729069  |*  |174.937750 -37.485261      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
96 |  42230.38|    84|2015ApJS..219...33G|B              |2MASS J11532691-3015414  |LM*|178.362135 -30.261517      |     ~|     ~|     ~|     ~|     ~|M4.5           |   2|   0
97 |  16415.20|    91|2015ApJ...798...73G|B              |2MASS J10394605-3510139  |*  |159.941888 -35.170539      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
98 |  74631.57|    25|2005ApJ...634.1385M|S              |TWA 22                   |LXB|154.36204 -53.90736        |     ~|15.69 |13.96 |13.72 |     ~|M5             |  55|   0
99 |     30.94|    99|2013ApJ...762...88M|B              |V* TW Hya                |TT*|165.4662717 -34.7047314    |     ~|11.94 |10.50 |10.626| 9.18 |K6Ve           |1204|   1
100|  94080.70|    26|2015ApJ...798...73G|B              |2MASS J13110859-3725022  |*  |197.785813 -37.417297      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
101|  35243.67|    99|2013ApJ...762...88M|B              |CD-36 7429A              |TT*|177.1009279 -37.4803094    |     ~|12.54 |11.17 |10.92 | 9.552|K5V            |  95|   0
102|  34242.98|   100|2005ApJ...634.1385M|B              |TWA 6A                   |*  |154.6200 -31.8339          |     ~|     ~|     ~|     ~|     ~|K7             |   4|   0
103|  30141.54|    98|2015ApJ...798...73G|B              |TWA 26                   |BD*|174.963083 -31.989306      |     ~|20.1  |     ~|18.1  |15.83 |M9:            |  90|   0
104|  34601.81|    87|2015ApJ...798...73G|B              |2MASS J11191302-4342401  |*  |169.804279 -43.711158      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
105|  14907.52|   100|2005ApJ...634.1385M|B              |V* CE Ant                |TT*|160.625466 -33.671169      |     ~|12.21 |10.91 |     ~| 9.10 |M2Ve           | 125|   1
106|  69687.11|   100|2005ApJ...634.1385M|B              |HD 109573                |** |189.00429585 -39.86950750  |     ~| 5.786| 5.774|     ~|     ~|A0V            | 387|   1
107|  50153.57|   100|2005ApJ...634.1385M|S              |TWA 27                   |BD*|181.889446 -39.548333      |     ~|     ~|19.95 |17.99 |15.88 |M8Ve           | 287|   1
108|  69687.13|   100|1999ApJ...512L..63W|B              |HD 109573A               |PM*|189.004304 -39.869500      |     ~| 5.786| 5.774| 7.25 | 5.81 |A0Ve           | 145|   0
109|  30141.54|   100|2005ApJ...634.1385M|S              |TWA 26                   |BD*|174.963083 -31.989306      |     ~|20.1  |     ~|18.1  |15.83 |M9:            |  90|   0
110|  49841.52|    75|2015ApJS..219...33G|S              |2MASS J12074836-3900043  |BD*|181.951508 -39.001222      |     ~|     ~|     ~|     ~|     ~|L1             |  11|   0
111|  21131.09|    87|2015ApJ...798...73G|B              |2MASS J11271382-3735076  |BD*|171.807583 -37.585450      |     ~|     ~|     ~|     ~|     ~|L0             |   4|   0
112|  56194.63|    20|2015ApJ...798...73G|B              |2MASS J12174683-3804157  |PM*|184.445133 -38.071036      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
113|  62203.61|    98|2015ApJ...798...73G|B              |2MASS J12220574-4159572  |*  |185.523942 -41.999236      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
114|  92071.77|    75|2015ApJS..219...33G|S              |2MASS J12563961-2718455  |BD*|194.165046 -27.312661      |     ~|     ~|     ~|     ~|     ~|L3:            |   4|   0
115|  47963.26|    95|2015ApJ...798...73G|B              |2MASS J12012242-4103432  |*  |180.343450 -41.062028      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
116|  14339.58|   100|2005ApJ...634.1385M|B              |CD-34 7390A              |TT*|170.321746 -34.779297      |     ~|12.88 |11.46 |11.43 | 9.57 |M1Ve           |  74|   0
117|  39307.27|    75|2005ApJ...634.1385M|S              |V* V1215 Cen             |TT*|168.359254 -45.395206      |     ~|     ~|12.478|     ~|10.483|M0.5           |  64|   0
118|  39307.27|   100|2014ApJ...788...81M|B              |V* V1215 Cen             |TT*|168.359254 -45.395206      |     ~|     ~|12.478|     ~|10.483|M0.5           |  64|   0
119|  22223.14|   100|2014ApJ...788...81M|B              |CD-33 7795               |TT*|172.9802404 -34.6075686    |     ~|12.97 |11.524|11.150| 9.150|M2Ve           | 149|   0
120| 253813.43|    12|2015ApJ...798...73G|B              |2MASS J08144321+2336045  |PM*|123.680079 +23.601258      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
121|  86175.52|    11|2015ApJ...798...73G|B              |LP 731-76                |PM*|164.6166239 -10.7751573    |     ~|16.20 |14.50 |14.175|     ~|M5.0V          |  17|   1
122|  84677.24|    23|2015ApJ...798...73G|B              |2MASS J12574463-3635431  |LM*|194.435987 -36.595311      |     ~|     ~|     ~|     ~|     ~|M6::           |   3|   0
123| 114677.44|    75|2013ApJ...762...88M|S              |2MASS J13412668-4341522  |*  |205.36121 -43.69786        |     ~|     ~|     ~|     ~|     ~|M3.5           |   5|   0
124|  34243.92|    98|2014ApJ...788...81M|B              |V* BX Ant                |TT*|154.6195733 -31.8341142    |     ~|13.39 |11.454|11.382| 9.325|M0Ve           |  91|   0
125|  51020.87|    66|2015ApJ...798...73G|B              |2MASS J12105770-3708100  |*  |182.740454 -37.136131      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
126|  38156.66|    75|2015ApJS..219...33G|S              |2MASS J10212570-2830427  |BD*|155.357112 -28.511878      |     ~|     ~|     ~|     ~|     ~|L4:            |   4|   0
127|  38156.66|    89|2015ApJ...798...73G|B              |2MASS J10212570-2830427  |BD*|155.357112 -28.511878      |     ~|     ~|     ~|     ~|     ~|L4:            |   4|   0
128|  78855.98|    44|2015ApJ...798...73G|B              |2MASS J12471536-3252233  |*  |191.814021 -32.873153      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
129|  33102.02|    98|2015ApJ...798...73G|B              |2MASS J11423628-3859108  |*  |175.651167 -38.986356      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
130| 239183.16|    45|2015ApJS..219...33G|B              |GJ 3469                  |Fl*|119.6268754 +15.5000553    |     ~|     ~|15.509|     ~|     ~|M4             |   4|   0
131|  14907.52|    75|2013ApJ...762...88M|S              |V* CE Ant                |TT*|160.625466 -33.671169      |     ~|12.21 |10.91 |     ~| 9.10 |M2Ve           | 125|   1
132|  20110.89|     0|2005ApJ...634.1385M|B              |V* V1217 Cen             |TT*|170.27292 -38.75453        |     ~|14.38 |12.85 |11.93 |10.515|M1Ve           |  57|   0
133|  56162.21|    99|2015ApJ...798...73G|B              |2MASS J12175920-3734433  |PM*|184.496692 -37.578697      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
134|  45437.25|   100|2015MNRAS.453.2220M|B              |TWA 36                   |PM*|180.658292 -33.477853      |     ~|16.57 |15.77 |15.49 |12.48 |M4.8           |   5|   0
135|  36879.52|   100|2005ApJ...634.1385M|B              |CD-26 8623               |TT*|173.17187 -26.86553        |     ~|13.69 |12.23 |11.14 | 9.637|M3Ve           |  77|   0
