,x,y,z,vx,vy,vz,id
0,-97.1942038788162,-85.1976905539946,-88.43810867683901,6.158075939881268,213.19973077028237,2.3961190377839525,1.0
1,-42.55263525890223,-87.7042351436904,-78.20100558447957,6.114841744151583,212.75578078670247,2.094272625267642,1.0
2,-56.61876255887589,-94.31648380740167,-82.57366225176571,4.171674157892655,212.8203113596569,2.17430418350434,1.0
3,-76.6720436363312,-59.66392843043422,-96.30932244152567,5.310792770884982,212.97209073699423,4.03491539033943,1.0
4,-37.5922078352323,-75.04678477359192,-86.36668579347581,6.777684501467657,211.30361286542362,2.055336355955769,1.0
5,-62.47618870123329,-70.28553689967313,-61.4141598181442,7.119567212155887,213.254871217942,3.355118997976484,1.0
6,-67.85632306779593,-80.21885623993406,-77.35732081752884,5.879820024581711,211.21380106219655,3.431556367046446,1.0
7,-7.302086397936451,-109.61356267903857,-91.68680953599741,11.240982864311102,211.6661075651379,1.4095100462981633,1.0
8,-51.40235246260102,-79.46547807395618,-87.0825418406711,7.414135667906994,210.80774598760942,1.4330308660533018,1.0
9,-64.48025203933533,-43.60818189847837,-106.42498018369886,6.469087824723312,208.54253893913753,3.078777051582077,1.0
10,-43.829442034458566,-89.48558228997409,-88.62196164490243,3.9139216974851987,212.22635951526567,2.732768280287946,1.0
11,-45.19886885674929,-121.03788643029657,-87.21246659587281,9.978980432399778,212.45859165567893,-0.2704181184327101,1.0
12,-71.64045184158104,-39.370780798486095,-100.03557124287967,4.9804026529105165,211.19117066225212,1.1173567805148898,1.0
13,-64.16629651077301,-100.39209733792703,-95.71948942134114,7.17589925317751,211.1838140246817,3.4971929469903285,1.0
14,-48.83959655508564,-24.50739611806031,-103.0708581762029,4.305407583698821,211.18345023720522,-0.3404633637416368,2.0
15,-54.10843645710112,-2.290328185571606,-89.81805480863723,5.422161648187757,207.90051453215617,1.4650739986711394,2.0
16,-54.699953185965406,-2.3156559641116377,-90.80337606222383,0.5093808567504013,214.24651762075013,-0.4467624297532986,2.0
17,-44.02259687485973,-15.572410444801642,-84.27895096031172,2.8620854499947765,212.70141727430473,1.6578043547545542,2.0
18,-81.86212462648415,-21.93383318791969,-102.40697747767963,3.411646487319595,210.31220213565973,2.9464586044697882,2.0
19,-73.46796339870045,-14.291151037295137,-101.16855357234903,0.4348783357929107,214.21236542910853,1.646623518726831,2.0
20,-56.005043865327515,1.6787648344062063,-85.38643763375391,1.1949167348931506,212.05025243191818,-0.5760352551515712,2.0
21,-62.73401765274919,-24.26506954420991,-99.55983772574683,4.421103181882668,212.0942643683791,2.217315885114866,2.0
22,-67.0607648510305,-14.145405705564926,-111.47303275435566,3.4702079881640935,210.24354202791784,3.284736831109263,2.0
23,-55.77534591777583,-0.03786349848199955,-86.2725543410229,2.0268383098658536,212.06940076048465,0.5133701982433301,2.0
24,-54.598248300757284,-7.374689039367531,-88.81626183637931,-3.2178053149195422,219.60788444980864,-0.8644245018223478,2.0
25,-67.80800088048571,-6.6525896837368474,-84.2168532681487,2.5557875543628583,210.4353117432248,1.4213728958481544,2.0
26,-68.53417286581977,-15.296502430106242,-83.28227163818048,3.1175532945386712,211.0772628436502,1.3997480512574685,2.0
27,-52.377980704113476,-18.889400146724558,-94.42193103118973,4.1169266129562665,211.56868653960368,0.33033825970051167,2.0
28,-69.85451796025467,-34.346817276157374,-90.49780188535826,5.446068084510785,210.86380768816406,1.7600406620382194,2.0
29,-51.95536611629711,-21.560074214333007,-91.73835813368513,3.7281864644965634,212.90821637093,0.24088976873166193,2.0
30,-60.349531713855434,7.118313049220089,-84.64420009736114,2.2714811274737507,209.6594256305447,0.9940578187221548,2.0
31,-77.55252161181541,-22.60081423260425,-87.83656489019238,7.383307077651132,206.4518913959653,2.963680384739311,2.0
32,-50.39337368997731,-6.9051137981405395,-95.29548886365576,0.8520596839955177,211.6297052658261,0.42510712979711973,2.0
33,-55.60947015864169,0.8635060038757294,-91.91060071794543,2.9406549998952953,210.01361389224488,0.04909303667353154,2.0
34,-64.89881150419211,-22.81680270835244,-64.00034215967996,3.251106571367651,211.48671221982767,2.594564018201257,2.0
35,-97.69117757593898,-6.179016274959183,-107.24754241947416,2.578750732960413,208.67918768143963,2.9287710997111236,2.0
36,-45.231388893777776,-14.102839679740015,-83.09263112663974,2.865327243431016,211.6779402566901,-0.06851626090910638,2.0
37,-50.84871428609241,-14.951630054038326,-86.61114455509076,2.7095199157548135,210.30665841045246,1.2529359409668528,2.0
38,-36.948415632416946,-121.27223215627792,-64.37218292377717,-27.624708038775,215.89297092898215,-5.276749209103378,3.0
