solution_id designation source_id random_index ref_epoch ra ra_error dec dec_error parallax parallax_error parallax_over_error pmra pmra_error pmdec pmdec_error ra_dec_corr ra_parallax_corr ra_pmra_corr ra_pmdec_corr dec_parallax_corr dec_pmra_corr dec_pmdec_corr parallax_pmra_corr parallax_pmdec_corr pmra_pmdec_corr astrometric_n_obs_al astrometric_n_obs_ac astrometric_n_good_obs_al astrometric_n_bad_obs_al astrometric_gof_al astrometric_chi2_al astrometric_excess_noise astrometric_excess_noise_sig astrometric_params_solved astrometric_primary_flag astrometric_weight_al astrometric_pseudo_colour astrometric_pseudo_colour_error mean_varpi_factor_al astrometric_matched_observations visibility_periods_used astrometric_sigma5d_max frame_rotator_object_type matched_observations duplicated_source phot_g_n_obs phot_g_mean_flux phot_g_mean_flux_error phot_g_mean_flux_over_error phot_g_mean_mag phot_bp_n_obs phot_bp_mean_flux phot_bp_mean_flux_error phot_bp_mean_flux_over_error phot_bp_mean_mag phot_rp_n_obs phot_rp_mean_flux phot_rp_mean_flux_error phot_rp_mean_flux_over_error phot_rp_mean_mag phot_bp_rp_excess_factor phot_proc_mode bp_rp bp_g g_rp radial_velocity radial_velocity_error rv_nb_transits rv_template_teff rv_template_logg rv_template_fe_h phot_variable_flag l b ecl_lon ecl_lat priam_flags teff_val teff_percentile_lower teff_percentile_upper a_g_val a_g_percentile_lower a_g_percentile_upper e_bp_min_rp_val e_bp_min_rp_percentile_lower e_bp_min_rp_percentile_upper flame_flags radius_val radius_percentile_lower radius_percentile_upper lum_val lum_percentile_lower lum_percentile_upper datalink_url epoch_photometry_url
1635721458409799680 "b'Gaia DR2 3479724817515231744'" 3479724817515231744 1601549291 2015.5 178.3616219554495 2.273837133806874 -30.261554355134002 1.2013636813796225 "" "" "" "" "" "" "" 0.1413649171590805 "" "" "" "" "" "" "" "" "" 243 0 232 11 452.48529052734375 790352.5 15.232714124659312 25018.236712507965 3 False 0.004122742917388678 "" "" 0.1736992746591568 32 14 4.031314373016357 0 36 False 306 10870.125562509724 26.211734328125807 414.7045593261719 15.597779273986816 32 1469.2079083465567 11.166528245831831 131.57249450683594 17.433679580688477 32 16159.173369576165 43.19711186257278 374.0799560546875 14.240872383117676 1.621727466583252 0 3.192807197570801 1.8359003067016602 1.3569068908691406 "" "" 0 "" "" "" b'NOT_AVAILABLE' 288.3267623515947 30.960202506337467 191.63662229088473 -28.176322465414486 130001 4233.93994140625 3723.070068359375 4789.9150390625 "" "" "" "" "" "" "" "" "" "" "" "" "" b'http://geadata.esac.esa.int/data-server/datalink/links?ID=3479724817515231744' ""
1635721458409799680 "b'Gaia DR2 5442755872307869568'" 5442755872307869568 65032789 2015.5 161.12681661868945 0.06783594195353124 -37.51530379937885 0.10879295715850952 9.908762134421778 0.12734152985211136 77.81249237060547 -38.52553484135415 0.12112958171675706 16.809644607236127 0.18610099480571254 0.3385906517505646 -0.25832900404930115 -0.7120782732963562 -0.36104390025138855 0.04693589359521866 -0.35454028844833374 -0.40854114294052124 0.3790063261985779 0.01540516596287489 0.25663822889328003 366 0 335 31 10.739813804626465 688.860595703125 0.5711337822702964 17.024830863431866 31 False 1.7704061269760132 1.30776374074603 0.019027074346039896 0.02520528808236122 39 11 0.183613583445549 0 60 False 348 3864.763051692128 5.332391261173588 724.7711181640625 16.720558166503906 26 1053.6487541226554 13.174763161186107 79.97477722167969 17.794649124145508 26 10089.234212629477 46.28424022607302 217.98422241210938 14.752274513244629 2.883199453353882 0 3.042374610900879 1.0740909576416016 1.9682836532592773 "" "" 0 "" "" "" b'NOT_AVAILABLE' 276.77906893444634 18.827487393268633 180.52144924927046 -41.3595775559648 102001 3604.0 3426.5 4012.7099609375 "" "" "" "" "" "" "" "" "" "" "" "" "" b'http://geadata.esac.esa.int/data-server/datalink/links?ID=5442755872307869568' ""
1635721458409799680 "b'Gaia DR2 5442755872310077184'" 5442755872310077184 1305595038 2015.5 161.12705619156515 0.07736292617731942 -37.51536438082658 0.11927627864652976 9.971996025457264 0.14444112614657753 69.03848266601562 -38.4838909577502 0.13892544996774356 15.397138606677016 0.21341180810467902 0.3638976514339447 -0.22125361859798431 -0.6978103518486023 -0.36838430166244507 -0.011870171874761581 -0.3779992461204529 -0.3860732316970825 0.3626077175140381 0.042202845215797424 0.26249825954437256 409 9 351 58 19.30813980102539 1141.51416015625 0.716000997865085 27.62700782582809 31 False 1.3179866075515747 1.3120596912664197 0.02415782291355768 0.01776641234755516 44 15 0.2048548460006714 0 59 False 357 3870.856995506234 4.854771273975743 797.3304443359375 16.718847274780273 28 1107.3252721980152 15.8639392670025 69.80140686035156 17.740699768066406 30 10198.069044658336 44.97157364151723 226.76699829101562 14.740625381469727 2.9206438064575195 0 3.0000743865966797 1.0218524932861328 1.9782218933105469 "" "" 0 "" "" "" b'NOT_AVAILABLE' 276.7792750867903 18.827528717873605 180.521708764515 -41.35953467692161 102001 3749.5 3431.0 4414.01318359375 "" "" "" "" "" "" "" "" "" "" "" "" "" b'http://geadata.esac.esa.int/data-server/datalink/links?ID=5442755872310077184' ""
1635721458409799680 "b'Gaia DR2 3560046852047030144'" 3560046852047030144 1142070915 2015.5 168.29247582901854 0.524733968304013 -15.067032455837504 0.38043990886819457 23.528812049172082 0.6302357169118009 37.333351135253906 -102.5012215042015 0.9999951744412081 -29.99594306369088 0.6625234773706472 -0.2459990233182907 -0.38325539231300354 -0.09440746903419495 0.3571740388870239 -0.08390085399150848 0.3059215545654297 -0.06548596918582916 0.1142362654209137 -0.29076912999153137 -0.11924328655004501 131 0 131 0 73.21855926513672 8514.40625 3.0768042779846914 508.3278585160084 31 False 0.10370901226997375 1.0664850506256278 0.09729012633162883 -0.11250830441713333 15 9 0.8989853262901306 0 20 False 123 5823.731732516219 8.417771481749257 691.8377075195312 16.275362014770508 19 898.2582104410328 21.27355742969078 42.22416687011719 17.967885971069336 19 13151.415423997687 100.89391733393741 130.34893798828125 14.464488983154297 2.4124863147735596 0 3.503396987915039 1.6925239562988281 1.810873031616211 "" "" 0 "" "" "" b'NOT_AVAILABLE' 270.49887990877255 41.53397128622018 175.38231322187403 -18.447699401311436 102001 3862.020263671875 3275.0 4333.33984375 "" "" "" "" "" "" "" "" "" "" "" "" "" b'http://geadata.esac.esa.int/data-server/datalink/links?ID=3560046852047030144' ""
1635721458409799680 "b'Gaia DR2 3560046856343264000'" 3560046856343264000 1374612599 2015.5 168.29271401991787 0.30098459949365897 -15.066931250534907 0.3747790394763015 "" "" "" "" "" "" "" -0.8918250799179077 "" "" "" "" "" "" "" "" "" 78 0 78 0 5.879977226257324 168.42330932617188 0.5274679318602493 5.887900980294549 3 False 1.7691501379013062 1.3272463257215383 0.036562735853363865 -0.4813670814037323 9 5 0.7515961527824402 0 20 False 122 3525.5955772227435 10.54686691953576 334.2789611816406 16.820283889770508 0 "" "" "" "" 0 "" "" "" "" "" 2 "" "" "" "" "" 0 "" "" "" b'NOT_AVAILABLE' 270.4990801761064 41.53417295410146 175.3824904961027 -18.44751268146957 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" b'http://geadata.esac.esa.int/data-server/datalink/links?ID=3560046856343264000' ""
1635721458409799680 "b'Gaia DR2 6071087597518919808'" 6071087597518919808 1527691886 2015.5 182.42379670915474 0.04250281706856732 -58.9116131958899 0.023457294834291417 9.534516909807275 0.04255242889553828 224.06517028808594 -34.567394976875214 0.06570943768802984 -8.522926884685415 0.04388304248820964 0.41848301887512207 -0.4651743173599243 -0.6447545886039734 -0.19223634898662567 -0.15277990698814392 -0.22312718629837036 -0.10972293466329575 0.4563770592212677 0.2042946070432663 0.35874393582344055 238 8 238 0 10.377307891845703 535.3153686523438 0.19713942862070188 9.307755116745062 31 False 21.135887145996094 1.3217958451819687 0.006359172699258581 -0.03413292393088341 27 13 0.0768817588686943 0 40 False 270 108959.10599605064 390.3081320833142 279.1617736816406 13.095207214355469 4 33816.99482660659 2225.8909210967704 15.19256591796875 14.02855110168457 5 159557.4394927107 12314.58224124968 12.956789016723633 11.754627227783203 1.7747431993484497 1 2.273923873901367 0.9333438873291016 1.3405799865722656 18.56821920823019 2.2548686408500354 3 4000.0 3.0 0.0 b'NOT_AVAILABLE' 297.55505831514745 3.5236685215710977 214.95860413896318 -50.98847983019766 102002 3825.455078125 3503.0 4424.02978515625 "" "" "" "" "" "" 200111 0.6781737208366394 0.507073700428009 0.8087735176086426 0.08873788267374039 0.08780799061059952 0.08966777473688126 b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6071087597518919808' ""
1635721458409799680 "b'Gaia DR2 6071087597518919040'" 6071087597518919040 797222857 2015.5 182.4240996886037 0.02283501975525431 -58.91256312144898 0.02041080450255748 9.431150693919347 0.030309167620228485 311.1649475097656 -37.431828807167484 0.04291989656979893 -10.800949704476043 0.039398486326570725 0.21478411555290222 -0.21225374937057495 -0.44656699895858765 -0.09106510877609253 -0.06187205761671066 -0.06528529524803162 -0.1425604671239853 0.17918351292610168 0.08397570252418518 0.2824687659740448 327 327 320 7 3.621736764907837 414.12933349609375 0.0 0.0 31 False 316.87841796875 1.5341041102792863 0.005266054287407444 -0.035988949239254 37 18 0.03405357897281647 0 42 True 362 1820042.2132511984 2214.806413543312 821.7612915039062 10.038162231445312 40 807034.2201925867 3280.581951456966 246.0033721923828 10.584157943725586 39 1427064.5025543263 4659.915748173716 306.2425537109375 9.375810623168945 1.2274982929229736 0 1.2083473205566406 0.5459957122802734 0.6623516082763672 10.568780518563889 3.1773835969951505 3 5250.0 4.5 0.0 b'NOT_AVAILABLE' 297.55536670891513 3.522756334188731 214.95974964221426 -50.9891177190042 100001 4882.75 4774.19970703125 4932.466796875 "" "" "" "" "" "" 200111 1.3382219076156616 1.3113807439804077 1.3997677564620972 0.9170836806297302 0.912245512008667 0.9219218492507935 b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6071087597518919040' ""
1635721458409799680 "b'Gaia DR2 5734132118729087488'" 5734132118729087488 963501816 2015.5 134.0574030278241 0.17790308302971347 -13.706839255665711 0.135345928149673 18.557009289508972 0.2247892309104999 82.55292510986328 -58.58826140525012 0.3535465250021777 -21.587607636494496 0.316047546106464 0.027338741347193718 -0.4062688946723938 -0.2728267014026642 0.19456198811531067 0.11292767524719238 0.08966679871082306 -0.2553046941757202 0.2252156138420105 -0.3273197114467621 -0.006545971147716045 177 0 175 2 4.839757442474365 274.84765625 0.7476121747743393 4.526539366492083 31 False 0.5756589770317078 1.3763368236307714 0.05313897250525073 0.0767582356929779 20 11 0.3232293426990509 0 22 False 194 1063.3855212148433 5.127167544930452 207.4021453857422 18.121639251708984 19 99.33704532705126 19.328317306004724 5.139456272125244 20.358610153198242 18 1887.9298861034679 26.815352102439302 70.40481567382812 16.57195472717285 1.8688113689422607 0 3.7866554260253906 2.236970901489258 1.5496845245361328 "" "" 0 "" "" "" b'NOT_AVAILABLE' 240.85096127940736 19.86675191464466 141.03894758461885 -29.677656303774206 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" b'http://geadata.esac.esa.int/data-server/datalink/links?ID=5734132118729087488' ""
1635721458409799680 "b'Gaia DR2 3481051683236357888'" 3481051683236357888 911474855 2015.5 177.00360144009022 5.503646361572325 -28.61362842250916 16.078896426384944 "" "" "" "" "" "" "" -0.9117129445075989 "" "" "" "" "" "" "" "" "" 59 0 59 0 1.1057357788085938 65.56385040283203 3.696403177963589 1.045899293884423 3 False 0.011972122825682163 "" "" -0.17385481297969818 7 5 25.651893615722656 0 7 False 59 62.54960205366204 1.4573128990811335 42.92118835449219 21.197803497314453 0 "" "" "" "" 0 "" "" "" "" "" 0 "" "" "" "" "" 0 "" "" "" b'NOT_AVAILABLE' 286.4619113129838 32.221613519337374 189.60737624298488 -27.234688391139912 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" b'http://geadata.esac.esa.int/data-server/datalink/links?ID=3481051683236357888' ""
1635721458409799680 "b'Gaia DR2 6150508376076490624'" 6150508376076490624 322494930 2015.5 187.76995335347627 0.34925489095841644 -38.01851422100577 0.26592916257314686 10.8060945900469 0.5262000408824551 20.536096572875977 -80.0356545929555 0.5949911979510296 -3.887060493582072 0.5905428415791316 -0.05715373903512955 -0.5426345467567444 -0.24929876625537872 -0.08143578469753265 -0.31941038370132446 0.3289855420589447 -0.4827352464199066 -0.1119885966181755 0.5465478897094727 -0.4066285490989685 166 0 165 1 1.6604434251785278 190.82814025878906 0.9178967401056644 1.891717276812881 31 False 0.20628046989440918 1.0505622778565349 0.08384139422176666 0.04676372557878494 19 11 0.6568611860275269 0 19 False 166 439.5810524493646 1.4822229736628274 296.56878662109375 19.080768585205078 12 30.593512300398483 4.936397018455769 6.19753885269165 21.63731575012207 16 827.752623185573 5.537447302121691 149.4827117919922 17.4671688079834 1.9526458978652954 1 4.170146942138672 2.556547164916992 1.6135997772216797 "" "" 0 "" "" "" b'NOT_AVAILABLE' 298.52073784464346 24.678804215896392 203.70414926632037 -31.515222959178896 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6150508376076490624' ""
